
kinopoiskId,imdbId,nameRu,nameEn,nameOriginal,countries,genres,ratingKinopoisk,ratingImdb,year,type,posterUrl,posterUrlPreview
718382,tt2385126,,,'76,[{'country': 'Нигерия'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}]",,5.5,2016,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/718382.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/718382.jpg
882341,tt4370922,,,(T)ERROR,[{'country': 'США'}],[{'genre': 'документальный'}],,6.6,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/882341.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/882341.jpg
707926,tt2388856,,,1 Chance 2 Dance,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'семейный'}]",,4.6,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/707926.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/707926.jpg
661650,tt2184233,Жизнь на этих скоростях,,1 Mile to You,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'спорт'}]",6.1,6.3,2017,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/661650.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/661650.jpg
1327502,tt10499474,,,10 Days in Sun City,"[{'country': 'ЮАР'}, {'country': 'Нигерия'}]","[{'genre': 'мелодрама'}, {'genre': 'приключения'}, {'genre': 'комедия'}]",,5.3,2017,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1327502.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1327502.jpg
11130,tt0147800,10 причин моей ненависти,,10 Things I Hate About You,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.8,7.3,1999,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/11130.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/11130.jpg
568766,tt1729630,10 золотых дней,,10 jours en or,[{'country': 'Франция'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",,5.9,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/568766.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/568766.jpg
944174,tt5089786,100 метров,,100 metros,"[{'country': 'Испания'}, {'country': 'Португалия'}]","[{'genre': 'драма'}, {'genre': 'биография'}, {'genre': 'комедия'}, {'genre': 'спорт'}]",7.3,7.5,2016,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/944174.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/944174.jpg
889767,tt4392454,Тринадцать камер,,13 Cameras,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'ужасы'}]",4.8,5.2,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/889767.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/889767.jpg
467995,tt1442571,14 клинков,,Jin yi wei,"[{'country': 'Гонконг'}, {'country': 'Китай'}, {'country': 'Сингапур'}]","[{'genre': 'триллер'}, {'genre': 'боевик'}, {'genre': 'история'}]",7.0,6.3,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/467995.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/467995.jpg
