title	release_year	rating_small	user_rating_score	dataset_small	rating_big	type	dataset_big	director	score_available	dataset	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
#Rucker50	2016				TV-PG	Movie	big	Robert McCullough Jr.	False	big	tt6475636	movie	#Rucker50	#Rucker50	0.0	2016.0		56.0	Documentary	5.2	140.0
#Selfie 69	2016				TV-MA	Movie	big	Cristina Jacob	False	big											
#realityhigh	2017				TV-14	Movie	big	Fernando Lebrija	False	big											
'76	2016				TV-PG	Movie	big	Izu Ojukwu	False	big	tt2385126	movie	'76	'76	0.0	2016.0		118.0	Drama,Romance	5.5	298.0
'89	2017				TV-PG	Movie	big		False	big											
(T)ERROR	2015				NR	Movie	big	Lyric R. Cabral, David Felix Sutcliffe	False	big	tt4370922	movie	(T)ERROR	(T)ERROR	0.0	2015.0		84.0	Documentary	6.6	823.0
0.03	2016	TV-MA		small					False	small											
1 Chance 2 Dance	2014				TV-PG	Movie	big	Adam Deyoe	False	big	tt2388856	movie	1 Chance 2 Dance	1 Chance 2 Dance	0.0	2014.0		89.0	Drama,Family,Romance	4.6	610.0
1 Mile to You	2017				TV-14	Movie	big	Leif Tilden	False	big	tt2184233	movie	1 Mile to You	1 Mile to You	0.0	2017.0		104.0	Drama,Romance,Sport	6.3	2882.0
10 Days in Sun City	2017				TV-14	Movie	big	Adze Ugah	False	big	tt10499474	movie	10 Days in Sun City	10 Days in Sun City	0.0	2017.0		87.0	Adventure,Comedy,Romance	5.5	80.0
10 Things I Hate About You	1999	PG-13	68.0	small					True	small	tt0147800	movie	10 Things I Hate About You	10 Things I Hate About You	0.0	1999.0		97.0	Comedy,Drama,Romance	7.3	409892.0
10 jours en or	2012				TV-14	Movie	big	Nicolas Brossette	False	big	tt1729630	movie	10 jours en or	10 jours en or	0.0	2012.0		95.0	Comedy,Drama	6.0	1062.0
10,000 B.C.	2008				PG-13	Movie	big	Roland Emmerich	False	big	tt3010906	tvEpisode	10,000 B.C.	10,000 B.C.	0.0	2008.0			Documentary		
100 Meters	2016				TV-MA	Movie	big	Marcel Barrena	False	big	tt5089786	movie	100 Meters	100 metros	0.0	2016.0		108.0	Biography,Comedy,Drama	7.5	7156.0
100 Metros	2016	TV-MA		small					False	small											
100 Things to do Before High School	2014				TV-Y	Movie	big		False	big											
100 Years: One Woman's Fight for Justice	2016				TV-14	Movie	big	Melinda Janko	False	big											
100% Hotter	2017				TV-14	TV Show	big		False	big											
1000 Rupee Note	2014				TV-14	Movie	big	Shrihari Sathe	False	big											
12 ROUND GUN	2017				TV-MA	Movie	big	Sam Upton	False	big											
12 Years Promise	2014				TV-14	TV Show	big		False	big	tt5476252	tvSeries	12 Years Promise	Dalrae Doen, Jang-guk: Yisimnyeonmanui Jaehoe	0.0	2014.0		70.0	Comedy,Drama,Romance	7.2	206.0
13 Cameras	2015				NR	Movie	big	Victor Zarcoff	False	big	tt4392454	movie	13 Cameras	Slumlord	0.0	2015.0		87.0	Crime,Horror,Thriller	5.2	6368.0
13 Sins	2014				R	Movie	big	Daniel Stamm	False	big	tt2059171	movie	13 Sins	13 Sins	0.0	2014.0		93.0	Horror,Thriller	6.3	40454.0
13TH	2016				TV-MA	Movie	big	Ava DuVernay	False	big											
13TH: A Conversation with Oprah Winfrey & Ava DuVernay	2017					Movie	big		False	big											
14 Blades	2010				R	Movie	big	Daniel Lee	False	big	tt1442571	movie	14 Blades	Jin yi wei	0.0	2010.0		114.0	Action,History,Thriller	6.3	8596.0
14 Minutes from Earth	2016				TV-MA	Movie	big	Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm	False	big	tt5626716	movie	14 Minutes from Earth	14 Minutes from Earth	0.0	2016.0		84.0	Documentary	5.7	180.0
17 Again	2009				PG-13	Movie	big	Burr Steers	False	big	tt0974661	movie	17 Again	17 Again	0.0	2009.0		102.0	Comedy,Drama,Fantasy	6.4	222412.0
187	1997				R	Movie	big	Kevin Reynolds	False	big											
1898: Our Last Men in the Philippines	2016				R	Movie	big	Salvador Calvo	False	big	tt5698568	movie	1898: Our Last Men in the Philippines	1898. Los últimos de Filipinas	0.0	2016.0		105.0	Drama,History,War	6.5	3688.0
1920	2008				TV-MA	Movie	big	Vikram Bhatt	False	big	tt1301698	movie	1920	1920	0.0	2008.0		143.0	Horror,Mystery,Thriller	6.4	4322.0
2 Alone in Paris	2008				TV-MA	Movie	big	Ramzy Bedia, Éric Judor	False	big	tt1077097	movie	2 Alone in Paris	Seuls Two	0.0	2008.0		94.0	Comedy	5.4	2832.0
2 States	2014				TV-PG	Movie	big	Abhishek Varman	False	big	tt2372678	movie	2 States	2 States	0.0	2014.0		149.0	Comedy,Drama,Romance	6.9	27575.0
20 Feet From Stardom	2013				PG-13	Movie	big	Morgan Neville	False	big											
20 Minutes	2013				TV-MA	TV Show	big		False	big											
2015 Dream Concert	2015				TV-PG	Movie	big		False	big	tt6959400	tvSpecial	2015 Dream Concert	2015 Dream Concert	0.0	2015.0		107.0	Music	6.2	22.0
20th Century Women	2016				R	Movie	big	Mike Mills	False	big	tt4385888	movie	20th Century Women	20th Century Women	0.0	2016.0		119.0	Comedy,Drama	7.3	50739.0
21 Thunder	2017				TV-MA	TV Show	big		False	big	tt6145878	tvSeries	21 Thunder	21 Thunder	0.0	2017.0	2017.0	44.0	Drama	6.0	1088.0
2307: Winter's Dream	2016				TV-MA	Movie	big	Joey Curtis	False	big	tt4261326	movie	2307: Winter's Dream	2307: Winter's Dream	0.0	2016.0		101.0	Sci-Fi	3.7	1742.0
23:59	2011				R	Movie	big	Gilbert Chan	False	big	tt2100376	movie	23:59	23:59	0.0	2011.0		78.0	Horror	4.6	1043.0
24 Hours to Live	2017				R	Movie	big	Brian Smrz	False	big	tt5442456	movie	24 Hours to Live	24 Hours to Live	0.0	2017.0		93.0	Action,Sci-Fi,Thriller	5.8	16574.0
25 Kille	2016				TV-14	Movie	big	Simranjit Singh Hundal	False	big	tt5743858	movie	25 Kille	25 Kille	0.0	2016.0		141.0	Comedy,Drama	5.6	116.0
26 Years	2012				TV-MA	Movie	big	Geun-hyun Cho	False	big	tt2551894	movie	26 Years	26 nyeon	0.0	2012.0		135.0	Crime,Drama,Thriller	6.3	1455.0
27: Gone Too Soon	2017				TV-MA	Movie	big	Simon Napier-Bell	False	big											
28 Moons	2016				TV-PG	TV Show	big		False	big											
3 Deewarein	2003				TV-MA	Movie	big	Nagesh Kukunoor	False	big	tt0338490	movie	3 Deewarein	3 Deewarein	0.0	2003.0		115.0	Crime,Drama	7.8	2656.0
3 Generations	2015				PG-13	Movie	big	Gaby Dellal	False	big	tt4158624	movie	3 Generations	3 Generations	0.0	2015.0		92.0	Drama	6.0	7131.0
3 Heroines	2016				TV-PG	Movie	big	Iman Brotoseno	False	big											
3 Idiots	2009				PG-13	Movie	big	Rajkumar Hirani	False	big	tt1187043	movie	3 Idiots	3 Idiots	0.0	2009.0		170	Comedy,Drama	8.4	451955.0
3 Türken & ein Baby	2015				TV-MA	Movie	big	Sinan Akkuş	False	big	tt3598648	movie	3 Türken & ein Baby	3 Türken & ein Baby	0.0	2015.0		95	Comedy	5.4	1898.0
30 Days of Luxury	2016				TV-14	Movie	big	Hani Hamdi	False	big	tt7616358	movie	30 Days of Luxury	Talatin Yom fi el-Izz	0.0	2016.0		91.0	Comedy,Musical	2.2	56.0
30 Rock	2012	TV-14	66.0	small	TV-14	TV Show	big		True	smallbig											
300 Miles to Heaven	1989				TV-14	Movie	big	Maciej Dejczer	False	big	tt0096740	movie	300 Miles to Heaven	300 mil do nieba	0.0	1989.0		105.0	Biography,Drama	7.1	1101.0
42 Grams	2017				TV-MA	Movie	big	Jack C. Newell	False	big	tt4760186	movie	42 Grams	42 Grams	0.0	2017.0		82.0	Biography,Documentary,Drama	7.0	437.0
46	2016				TV-MA	TV Show	big	Serdar Akar	False	big	tt12991892	tvEpisode	46	46	0.0	2016.0		3.0	Short		
48 Christmas Wishes	2017				TV-G	Movie	big	Marco Deufemia, Justin G. Dyck	False	big	tt7422638	tvMovie	48 Christmas Wishes	48 Christmas Wishes	0.0	2017.0		84.0	Adventure,Comedy,Drama	4.0	1284.0
4th Man Out	2015				NR	Movie	big	Andrew Nackman	False	big	tt3978720	movie	4th Man Out	Fourth Man Out	0.0	2015.0		86	Comedy,Drama	6.7	11070.0
5 Cowok Jagoan	2017				TV-MA	Movie	big	Anggy Umbara	False	big											
5 Flights Up	2014				PG-13	Movie	big	Richard Loncraine	False	big	tt2933544	movie	5 Flights Up	5 Flights Up	0.0	2014.0		88.0	Comedy,Drama	6.2	11396.0
5 to 7	2014	R		small	R	Movie	big	Victor Levin	False	smallbig	tt2486678	movie	5 to 7	5 to 7	0.0	2014.0		95.0	Comedy,Drama,Romance	7.1	21756.0
5CM	2012				TV-14	Movie	big	Rizal Mantovani	False	big											
6 Bullets	2012				R	Movie	big	Ernie Barbarash	False	big	tt1975249	movie	6 Bullets	6 Bullets	0.0	2012.0		115.0	Action,Crime,Drama	6.0	16149.0
