year	revenues	cost_of_revenues	marketing	technology_and_development	general_and_administrative	operating_income	interest_expense	interest_and_other_income_expense	income_before_income_taxes	net_income	eps_basic	eps_diluted	wacso_basic	wacso_diluted
2002	150818.0												28204.0	
2003	270410.0												47786.0	
2004	500611.0	331712.0							21776.0		0.42		51988.0	
2005	682213.0	465775.0							8335.0		0.79		53528.0	
2006	996660.0	626985.0							79912.0		0.78		62577.0	
2007	1205340.0	786168.0					1188.0		110925.0		1.0		67076.0	
2008	1364661.0	910234.0					2458.0		131500.0		1.36		60961.0	
2009	1670269.0	1079271.0					6475.0		192192.0		2.05		56560.0	
2010	2162625.0	1357355.0	293839.0	163329.0	64461.0	283641.0	19629.0		267696.0		3.06		52529.0	
2011	3204577.0	2039901.0	381269.0	259033.0	148306.0	376068.0	20025.0		359522.0		4.28		52847.0	
2012	3609282.0	2652058.0	465400.0	329008.0	139016.0	49992.0	19986.0	474.0	30480.0	17152.0	0.31	0.29	55521.0	58904.0
2013	4374562.0	3117203.0	469942.0	378769.0	180301.0	228347.0	29142.0	3002.0	171074.0	112403.0	1.93	1.85	58198.0	60761.0
2014	5504656.0	3752760.0	607186.0	472321.0	269741.0	402648.0	50219.0	3060.0	349369.0	266799.0	4.44	4.32	60078.0	61699.0
2015	6779511.0	4591476.0	824092.0	650788.0	407329.0	305826.0	132716.0	31225.0	141885.0	122641.0	0.29	0.28	425889.0	436456.0
2016	8830669.0	6029901.0	991078.0	852098.0	577799.0	379793.0	150114.0	30828.0	260507.0	186678.0	0.44	0.43	428822.0	438652.0
2017	11692713.0	8033000.0	1436281.0	953710.0	431043.0	838679.0	238204.0	115154.0	485321.0	558929.0	1.29	1.25	431885.0	446814.0
2018	15794341.0	9967538.0	2369469.0	1221814.0	630294.0	1605226.0	420493.0	41725.0	1226458.0	1211242.0	2.78	2.68	435374.0	451244.0
2019	20156447.0	12440213.0	2652462.0	1545149.0	914369.0	2604254.0	626023.0	84000.0	2062231.0	1866916.0	4.26	4.13	437799.0	451765.0
2020	24996056.0	15276319.0	2228362.0	1829600.0	1076486.0	4585289.0	767499.0	618441.0	3199349.0	2761395.0	6.26	6.08	440922.0	454208.0
2021	29697844.0	17332683.0	2545146.0	2273885.0	1351621.0	6194509.0	765620.0	411214.0	5840103.0	5116228.0	11.55	11.24	443155.0	455372.0
2022	31615550.0	19168285.0	2530502.0	2711041.0	1572891.0	5632831.0	706212.0	337310.0	5263929.0	4491924.0	10.1	9.95	444698.0	451290.0
2023	33723297.0	19715368.0	2657883.0	2675758.0	1720285.0	6954003.0	699826.0	48772.0	6205405.0	5407990.0	12.25	12.03		
